"","DYRK1A_Q13627","RPS6KA3_P51812","HN1_Q9UK76","ZC3HC1_Q86WB0","NCOR2_Q9Y618","KIAA0701_A0JNW5","OCIAD1_Q9NX40","PDPK1_O15530","ABI1_Q8IZP0","WDR20_E7EUY8","MAP4_E7EVA0","RBM17_Q96I25","IQGAP3_Q86VI3","FAM129B_Q96TA1","TMSB4X_P62328","TMSB4X_P62328_2","CLTA_P09496","AP1GBP1_Q9UMZ2","ZC3H14_Q6PJT7","PFKP_Q01813","LARP5_Q92615","HAT1_O14929","MAP3K7_O43318","SRRM1_Q8IYB3","BRD4_O60885","ULK1_O75385","KIF4A_O95239","C22orf9_Q6ICG6","DHX16_O60231","BRAF_P15056","FOSL2_P15408","FOSL2_P15408_2","JUND_P17535","RPL12_P30050","NUP214_P35658","EIF4A3_P38919","EIF4A3_P38919_2","TMPO_P42167","BAT2_P48634","FASN_P49327","FASN_P49327_2","FAM76B_Q5HYJ3","RPS6_P62753","AHNAK_Q09666","PAK2_Q13177","RPS6KA1_Q15418","RPS6KA1_Q15418_2","ZNF672_Q499Z4","C17orf85_Q53F19","ATAD2_Q6PL18","NUFIP2_Q7Z417","RBBP6_Q7Z6E9","CASC3_O15234","KIAA1704_Q8IXQ4","CCNYL1_Q8N7R7","NFATC2IP_Q8NCF5","RNF169_Q8NCN4","ZNF740_Q8NDX6","DDX54_Q8TDD1","ATXN2L_Q8WWM7","ATRIP_Q8WXE1","DPF2_Q92785","SMARCC1_Q92922","KHSRP_Q92945","SH3KBP1_Q96B97","C13orf8_Q96JM3","RBM14_Q96PK6","ALS2_Q96Q42","PPP1R10_Q96QC0","TPX2_Q96RR5","RSF1_Q96T23","WAC_Q9BTA9","UBE2O_Q9C0C9","WDR26_Q9H7D7","ANLN_Q9NQW6","NANS_Q9NR45","TERF2IP_Q9NYB0","LRWD1_Q9UFC0","LIMA1_Q9UHB6","LIMA1_Q9UHB6_2","GPATCH8_Q9UKJ3","SRRM2_Q9UQ35","MAP3K2_Q9Y2U5","THRAP3_Q9Y2W1","NOC2L_Q9Y3T9","VPRBP_Q9Y4B6","BAT2D1_Q9Y520","MARK2_Q7KZI7","SLC38A1_Q9H2H9","BAT2D1_Q9Y520_2","CDC2_P06493","TMPO_P42167_2","NOLC1_Q14978","PLEC1_Q15149","PLEC1_Q15149_2","SRRM2_Q9UQ35_2"
"afuresertib_24",0.291548733,0.080479445,-0.133914803,-0.0588511,0.078533202,-0.259202525,0.08202107,0.051416161,0.278906071,0.187710095,-0.088392489,0.02764015,-0.047504138,0.314494723,0.276115231,0.147691687,-0.2088112,0.10491534,0.216450438,0.137815092,0.116869467,0.072476912,-0.036598905,0.393158922,0.197414965,0.126587923,0.122707126,0.054700419,1.151196914,0.806905039,0.362737287,0.218205386,0.035979094,0.221956857,0.37134847,-0.201356842,-0.338741592,-0.254249904,0.083399489,0.434066349,0.244713179,0.249136574,0.051359078,0.358169464,0.089137414,0.29174243,0.068624091,0.172159042,0.184945417,-0.234048153,-0.190034149,0.090562116,0.204044004,0.16366206,0.011811475,-0.169222255,0.040358981,0.133962353,0.197674347,-0.03910264,-0.225881268,0.003483922,0.591639265,0.297068122,0.485504613,0.014802294,-0.123885396,-1.806263214,0.142893804,-0.051828419,-0.199507986,0.398613926,-1.122761243,-0.018530582,0.16383867,0.240358518,0.213619842,0.092203189,0.22524865,0.243433936,0.308966006,0.132889543,-0.59790203,0.392639668,-1.58860423,-0.009737632,-0.0776,0.520656855,0.042970545,0.302796415,-0.564530928,0.444459724,-0.707187326,0.962508424,0.597810849,0.06571711
"AR A014418_24",0.055713013,0.300070575,-0.033358541,0.109407837,0.265624106,-0.171524392,0.056761218,0.008767084,0.315775203,0.122497872,0.166934228,0.075904844,-0.168504649,0.462860208,0.380306723,0.077456182,-0.78805546,0.213578258,0.228706292,0.085088929,0.303975035,0.109100033,0.361739992,0.107024247,0.468432067,0.050763664,-0.671971027,-0.524734319,2.074233667,0.401757949,-0.031474167,-0.006807736,-0.296934234,-0.402292184,0.151767465,-0.215115793,-0.228181492,-0.251868309,0.266481225,0.163251598,0.183161328,0.094491551,0.229184371,0.458407266,0.019395265,0.092665558,0.032940901,0.250720534,0.221497483,0.160294584,-0.000168787,0.316204592,0.14622698,0.28981237,-0.11729489,-0.103999054,0.035604117,-0.233771194,0.183835346,0.216113145,-0.022053187,0.645181405,0.414682212,0.325245926,0.297805448,0.102343916,-0.309536666,-0.981619481,0.037687428,-0.061146533,0.024912298,0.160151291,0.157346676,-0.353784971,0.484853702,0.265346686,0.10645073,0.293279593,0.247932105,0.151236637,0.232662607,0.187841506,-0.200233179,0.208335431,-4.151477493,0.256671292,0.249080677,-0.195873664,-0.29160664,0.28818738,-0.151987629,0.603309728,-1.174842216,1.514773506,0.458399131,0.149156321
"BMS-345541_24",0.177079993,0.317380344,0.068430798,0.256924039,0.433761032,-0.194987498,0.174038866,0.01615587,0.292015259,0.261782823,0.336793387,0.124106558,-0.010218816,0.50850823,0.576747438,0.23164334,0.104503088,0.336435336,0.176275272,0.161210204,0.29850656,0.292306093,0.218591982,0.356392426,0.316591629,-0.19723171,0.011013793,-0.11474672,2.030987547,0.49037635,0.225259412,0.171309305,-0.275848781,0.18682386,-0.221384216,0.41213336,0.26210257,-0.003427153,0.176744826,0.420074843,0.258306466,-0.044126028,0.19414882,0.556839576,0.129592753,0.166020931,0.073343949,0.369451413,0.333343795,0.243048509,0.039005087,0.107967837,0.156308927,0.121974229,-0.106488802,-0.022330444,0.07262986,-0.026223598,0.305166743,0.249277792,0.17921526,0.563411388,1.041208218,0.195463559,0.567651103,0.279997956,0.144784994,-1.035274164,-0.096515033,0.467963859,0.117162661,0.445881859,-0.141478732,0.094542501,0.77323224,0.17081537,0.294777063,0.484672818,0.286197123,0.319472122,0.306607458,0.158645633,-0.318362991,0.572966907,-3.294160188,0.32417726,0.138969242,-0.046164922,-0.210468157,0.330493246,-0.016039596,0.360051587,-0.282665636,0.76024547,0.288171881,0.237520496
"BMS-906024_24",0.204074691,0.436259931,0.152285202,0.346340939,0.234313791,-0.245655198,0.413624222,0.0242528,0.35159428,0.320703033,0.175070083,0.150714167,0.170902883,0.126059823,0.310462279,-0.03064589,-2.710820643,0.170179776,0.143195098,0.273593332,0.318284377,0.247707129,-0.004103644,0.334484399,0.374961435,0.265135768,0.70423853,0.404212367,0.157977064,0.567872211,0.086276726,0.10138689,-0.013411508,0.37864964,0.301959249,0.391600074,0.353724004,0.42373202,0.350733966,0.44289356,0.289042824,0.151167894,0.249776021,0.569544946,0.142002594,0.144236351,0.122831998,0.329928188,0.335653029,0.327576033,0.125170287,0.226529018,0.171421263,0.227273242,-0.176508302,0.089511216,0.265320845,0.018802749,0.113677925,0.246958697,0.294220257,0.196825661,0.715887275,0.308656927,0.259526531,0.396919701,0.277703838,0.093883359,0.330699422,0.435901573,0.158061848,0.467862845,0.295276326,0.137768599,0.69179685,0.295688498,0.349297255,0.374231389,0.406044206,0.205667815,0.280913562,0.129137012,0.072257169,0.463614771,-2.301611656,0.240111116,0.165669206,0.201641464,0.115840135,0.326368248,0.042401923,0.382987272,0.482276738,1.4123464,0.489312612,0.248355957
"BYL719_24",0.214348652,0.181078441,-0.33942961,-0.376648502,0.10331855,-0.366511892,-0.176141168,0.004403226,0.376709267,0.297203943,-0.176108009,-0.0711533,-0.180775491,0.196833112,0.358557488,0.139979351,-0.433376779,0.177261065,0.215264054,0.039894547,0.141627073,0.060814559,-0.177253331,0.676410888,0.08996548,0.128947444,0.693564606,-0.128627806,1.060190749,0.875527629,0.136718301,0.073516195,-0.225583846,0.087727011,0.643561013,-0.292735544,-0.30987516,-0.456928611,-0.104877829,0.164862313,0.049333669,0.275399924,-0.110679518,0.517169861,0.22260696,0.050493111,-0.108775084,0.197806307,0.333267845,-0.242096614,-0.24075144,0.06094492,0.288182336,0.187551345,-0.160454814,-0.550645432,0.060770484,0.16473646,-0.025616932,0.057694696,-0.269795787,0.544954661,0.055775407,0.432180142,0.446357628,0.04418498,0.135737182,-0.893941347,0.181512308,0.000456562,-0.179901288,0.520266763,-0.671653868,-0.274665512,0.149027648,0.366141143,0.13192568,0.150909516,0.047988573,0.055974003,0.411748132,-0.276759466,-0.270384332,0.449472229,-3.473752259,-0.104338158,0.014606834,0.437456357,-0.145535629,0.50521504,-0.824825414,0.597013396,-0.457322926,1.366511892,0.529195934,0.015755684
"CC-401_24",-0.294999553,-0.235331746,-0.207463402,0.003440901,-0.026378472,-0.171524392,-0.294662409,-0.309309042,-0.027648786,0.026915302,-0.198458663,-0.211331013,-0.077928574,-0.228967951,-0.469823475,-0.423048063,-1.045560967,0.020309319,-0.280037462,-0.181732934,-0.173679097,-0.149110051,-0.124812473,-0.14987236,-0.149261631,-0.280186457,-0.055391999,-0.197550659,0.833636085,-0.120863785,-0.441583618,-0.090875507,-0.475618408,0.019494644,-1.16036874,-0.504792996,-0.187358448,-0.512727486,-0.250299409,-0.295930969,-0.173949123,-0.225567848,-0.356886393,-0.208920523,-0.683468217,-0.586104296,-0.243877484,-0.112432356,-0.22820119,-0.092934159,-0.414911738,-0.160827092,-0.188587572,-0.153015896,-0.497400852,-0.511986849,-0.282795774,-0.636997927,-0.14775294,-0.517841018,-0.219956469,0.128577186,-0.045667297,-0.114305463,0.098898756,-0.085980341,-0.126872897,-0.129680766,-0.209381183,0.077518423,-0.187811434,-0.121432527,-0.202452555,-0.542443985,0.295822667,-0.413607049,0.063587104,-0.055534305,0.027866525,-0.216743457,-0.125667567,-0.134181567,-0.539091966,0.193238849,-1.964949437,-0.859867625,-0.396682717,-0.12354462,-0.446541488,-0.042755395,-0.231600601,-0.950986945,-0.479456668,0.17683824,0.832768171,-0.183972953
"dactolisib_24",0.321325991,0.134032169,-0.463817319,-1.089990071,-1.436485751,0.792837209,-0.562499145,0.070115819,0.413213803,0.519893773,-0.507849034,-0.252962821,-0.160837481,0.518856184,0.31947238,-0.221749554,-1.034155728,-0.029689098,0.013772228,0.357774562,0.00194382,-0.189152215,0.213536705,1.159329974,-0.310773629,0.008446563,-1.716717335,-0.401572302,0.992426641,0.896408679,0.300997436,0.064393217,0.547383709,-0.535652471,1.350458602,-1.010835059,-1.168283531,-0.582748232,-0.330922345,0.245227711,0.026319158,-0.01180446,1.674730735,-0.138748426,-0.264725844,0.213834624,-0.001158603,0.050895819,0.352718857,-1.600491078,-0.342588964,-0.250977507,0.109953171,0.292197455,-0.071311177,-1.010805599,0.1883656,0.226116365,-0.407243133,-0.527632597,-1.642338054,0.158818181,0.207884582,0.650350287,0.280333327,-0.366814892,-0.05567225,1.603343017,0.461094271,-1.066267964,-0.883944281,0.126054871,0.7818053,0.186098103,-0.937406645,0.279454129,-0.378612174,-0.03281783,0.109552834,0.384908259,0.234366926,0.0314758,-0.537770761,0.567321599,-4.534666767,0.4354497,-0.671229659,1.035945446,-0.119124729,-0.200332308,-1.326551197,0.404432121,-0.520667118,1.565637449,0.944044788,-0.202787375
"Dinaciclib_24",-0.326514097,-0.132707574,-0.333019889,-0.879928751,-2.453274252,0.161808942,-3.155108392,-0.429051283,0.06857583,0.666556132,-0.130331569,-0.504493452,-0.433910328,-0.797633057,0.198147465,0.000644409,-0.397783975,1.838414288,-1.056850374,0.277055454,-1.010717923,-0.700946052,-0.270143673,2.153868609,-1.096032877,-1.203946044,2.084135661,-0.132563921,-0.504857725,0.360113085,-1.361595213,-1.314314257,-0.868415418,-1.607735864,0.390567349,-5.48198949,-4.936390574,-4.750017652,-1.568159426,0.33616294,0.135436556,-3.33635257,0.535177714,-1.242778131,-1.100068145,-0.351977786,-0.554593158,-0.3408477,-0.101339807,-2.382077901,0.256353475,-3.183909672,-0.252850931,0.282203584,-0.562873183,-1.004108344,-0.264236332,-1.827499381,-0.978120785,-1.745371572,-1.633255853,0.361991327,-2.45520782,-0.857994389,0.049740688,-1.318505623,3.620006618,3.191137039,0.415112868,-2.925505725,-0.276858564,-0.428894614,0.39689452,-0.268160729,0.691509883,0.267021741,-1.09531712,0.039668852,-0.665508305,0.189508991,-0.296965639,-0.676634663,-0.899261104,-0.996637364,-2.418226738,-0.06074449,-3.820170486,-0.269744276,-0.346136365,-0.387074696,0.081296913,0.160559562,-1.913179848,0.366511892,0.190783331,-0.859960833
"Everolimus_24",0.195014911,0.351480932,0.004315534,-0.129950566,0.173113422,-0.333333332,-0.406783836,0.205557076,0.349954513,0.328206607,0.395094612,0.077947442,0.22546681,-0.023441582,0.146633063,-0.065292384,0.683783553,0.415202756,0.229228391,0.462390083,0.213928581,0.194348563,0.315492617,0.353026419,0.152160672,-0.020918869,-0.551434943,0.052779638,0.683645655,0.318881778,-0.174720507,-0.234581477,-0.297483234,0.550869288,-0.121344264,-0.278400051,-0.430291467,-0.034348999,0.22436636,0.186288749,0.051396967,0.323888573,0.666498457,0.186524445,0.062162167,0.055971397,0.140021654,0.47528101,0.395099959,0.145722936,-0.323518417,0.158682819,0.168057096,0.492487881,0.143777867,0.098229939,0.50282703,0.047947122,0.148160121,0.162208181,-0.067015923,0.14854941,-0.984816218,0.537098346,0.554709419,0.201942587,-0.144009602,0.633209213,0.248120613,0.136836274,-0.081404866,0.055655269,-0.70818949,0.02727956,0.043399815,0.381890599,0.306770423,0.27952289,0.177914234,0.184308934,0.398919893,0.061208943,0.193992088,0.233284201,-1.088597525,0.553506312,0.234735552,0.468813468,0.074020949,0.217410249,-0.433727481,0.388137327,-0.146123334,1.204102937,-0.093846625,0.240246645
"flavopiridol_24",-0.463408545,-0.43389547,-0.615667372,-0.990773383,-2.062867287,0.516145541,-2.261047406,-0.569404404,-0.007338373,0.481818068,-1.030898701,-0.383243875,-1.145243271,-0.751526868,-0.022978857,-0.313388833,-1.909357224,1.260997634,-1.85582005,-0.101593443,-1.392160809,-0.525531577,-0.376691093,1.739364018,-2.061899043,-0.694927638,1.739541291,-0.356166239,0.640944047,0.162331557,-1.225070755,-1.110461468,-1.596733381,0.785530627,-0.15091039,-4.981560329,-4.686546777,-5.527462757,-2.33066309,-0.315886322,-0.425306133,-3.614182924,0.720939726,-0.984872304,-1.283862802,-0.412493575,-0.623516392,-0.840747903,-0.252603027,-1.816185926,-0.195418601,-3.124483714,-0.80274378,0.003796536,-0.818817497,-1.03573271,-0.633202315,-2.117789773,-1.063842911,-2.139247534,-1.432991216,-0.042606183,-1.50629567,-1.259554327,-0.331079395,-1.09257543,2.378614624,2.790400806,-0.088591914,-2.65199134,-0.780528564,-0.465519365,0.139231766,-0.407199785,0.241502219,-0.162148337,-2.013952097,-0.212724421,-1.118852772,-0.265251359,-0.492538435,-0.665262235,-0.73167017,-0.154179304,-0.349268384,-0.531577654,-5.118519712,-1.329747683,-0.214314009,-1.18546574,-0.805547193,-0.588304943,-0.459825438,-0.561499392,-0.652014693,-1.245533492
